,Temporada,Jornada,Partit,L,V,L-P,L-G,L-XP,L-XF,L-XT,L-PP,L-C,L-FJ,L-TG,L-TV,L-AS,L-XPA,L-L,L-S,L-F,L-PC,V-P,V-G,V-XP,V-XF,V-XT,V-PP,V-C,V-FJ,V-TG,V-TV,V-AS,V-XPA,V-L,V-S,V-F,V-PC
175,2018/2019,18,Eibar/Villarreal,Eibar,Villarreal,55%,0,6,18,24,4,13,2,0,0,0,0,1,3,12,0,45%,0,4,3,7,6,1,4,2,0,0,0,0,3,17,0
176,2018/2019,18,Sevilla/Atletico-Madrid,Sevilla,Atletico-Madrid,55%,1,5,9,14,6,4,1,3,0,1,1,0,3,14,0,45%,1,7,5,12,4,5,2,6,0,0,0,0,2,10,0
177,2018/2019,18,Real-Madrid/Real-Sociedad,Real-Madrid,Real-Sociedad,60%,0,7,17,24,2,9,1,5,1,0,1,0,3,11,0,40%,2,4,7,11,7,4,1,1,0,1,0,1,3,13,0
178,2018/2019,18,Getafe/Barcelona,Getafe,Barcelona,23%,1,2,9,11,6,4,3,4,0,1,1,0,3,23,0,77%,2,8,4,12,1,3,2,3,0,0,0,0,3,12,0
179,2018/2019,18,Celta/Athletic-Bilbao,Celta,Athletic-Bilbao,66%,1,3,12,15,2,3,1,2,0,1,1,0,3,16,0,34%,2,4,4,8,2,2,2,5,0,2,0,1,3,21,0
180,2018/2019,19,Rayo-Vallecano/Celta,Rayo-Vallecano,Celta,38%,4,8,3,11,2,7,4,4,0,3,0,0,3,12,0,62%,2,4,9,13,4,5,2,1,0,0,1,0,3,7,0
181,2018/2019,19,Leganes/Huesca,Leganes,Huesca,49%,1,7,7,14,1,4,3,3,0,1,1,1,3,10,0,51%,0,1,6,7,6,4,1,3,0,0,0,0,3,9,0
182,2018/2019,19,Valencia-Cf/Valladolid,Valencia-Cf,Valladolid,62%,1,5,11,16,0,7,2,2,0,1,0,0,3,15,0,38%,1,1,5,6,4,0,0,5,0,0,0,0,3,17,0
183,2018/2019,19,Girona-Fc/Alaves,Girona-Fc,Alaves,55%,1,4,4,8,3,6,2,3,0,1,0,0,3,20,0,45%,1,4,11,15,3,3,3,2,0,1,0,0,3,13,0
184,2018/2019,19,Villarreal/Getafe,Villarreal,Getafe,58%,1,6,11,17,2,6,1,5,0,0,3,0,2,14,0,42%,2,4,5,9,5,1,3,3,0,2,0,0,3,13,0
185,2018/2019,19,Atletico-Madrid/Levante,Atletico-Madrid,Levante,59%,1,5,14,19,2,5,3,0,0,0,0,1,3,9,0,41%,0,2,5,7,4,2,0,3,0,0,0,1,3,17,0
186,2018/2019,19,Athletic-Bilbao/Sevilla,Athletic-Bilbao,Sevilla,43%,2,3,8,11,4,7,3,4,0,2,0,0,3,14,0,57%,0,4,5,9,1,5,3,2,0,0,0,0,3,12,0
187,2018/2019,19,Barcelona/Eibar,Barcelona,Eibar,59%,3,6,1,7,1,2,8,2,0,3,0,0,3,10,0,41%,0,1,11,12,3,3,3,1,0,0,0,0,3,12,0
188,2018/2019,19,Betis/Real-Madrid,Betis,Real-Madrid,73%,1,2,7,9,3,6,4,2,0,1,0,0,3,9,0,27%,2,5,9,14,1,5,4,3,0,0,0,1,3,12,0
189,2018/2019,19,Real-Sociedad/Espanyol,Real-Sociedad,Espanyol,40%,3,4,5,9,0,7,2,6,1,1,1,0,3,15,0,60%,2,2,19,21,1,3,3,4,0,1,0,0,3,11,0
190,2018/2019,20,Getafe/Alaves,Getafe,Alaves,44%,4,6,7,13,0,4,1,0,0,3,0,0,3,14,0,56%,0,0,6,6,2,2,1,6,0,0,0,0,3,0,0
191,2018/2019,20,Real-Madrid/Sevilla,Real-Madrid,Sevilla,69%,2,6,17,23,1,7,3,2,0,1,1,0,2,10,0,31%,0,1,3,4,4,4,1,3,0,0,0,0,3,14,0
192,2018/2019,20,Huesca/Atletico-Madrid,Huesca,Atletico-Madrid,50%,0,3,11,14,5,6,0,2,0,0,1,0,3,15,0,50%,3,8,6,14,3,5,3,2,0,2,1,0,3,13,0
193,2018/2019,20,Celta/Valencia-Cf,Celta,Valencia-Cf,57%,1,4,8,12,6,4,2,3,0,1,0,0,3,17,0,43%,2,8,6,14,3,6,1,3,0,1,0,0,3,12,0
194,2018/2019,20,Betis/Girona-Fc,Betis,Girona-Fc,59%,3,5,7,12,3,7,1,2,0,1,0,0,3,9,0,41%,2,5,3,8,2,2,3,4,0,2,0,0,3,12,0
195,2018/2019,20,Villarreal/Athletic-Bilbao,Villarreal,Athletic-Bilbao,49%,1,1,2,3,1,1,3,4,0,1,0,0,3,17,0,51%,1,2,7,9,0,3,1,1,0,0,0,0,3,13,0
196,2018/2019,20,Levante/Valladolid,Levante,Valladolid,49%,2,4,9,13,3,3,2,5,0,2,0,0,3,12,0,51%,0,3,10,13,2,2,2,4,0,0,0,0,3,18,0
197,2018/2019,20,Rayo-Vallecano/Real-Sociedad,Rayo-Vallecano,Real-Sociedad,35%,2,4,7,11,2,2,1,2,0,1,0,0,3,14,0,65%,2,4,6,10,2,9,2,1,0,1,0,0,2,10,0
198,2018/2019,20,Barcelona/Leganes,Barcelona,Leganes,71%,3,6,7,13,1,5,0,3,0,2,0,1,3,12,0,29%,1,2,3,5,3,1,1,3,0,1,0,0,3,17,0
199,2018/2019,20,Eibar/Espanyol,Eibar,Espanyol,54%,3,8,6,14,0,6,6,2,0,2,0,0,3,15,0,46%,0,0,6,6,5,2,6,5,0,0,0,1,3,8,0
200,2018/2019,21,Sevilla/Levante,Sevilla,Levante,53%,5,9,14,23,0,5,1,2,0,3,2,2,3,15,0,47%,0,0,7,7,4,8,2,1,0,0,1,0,3,13,0
201,2018/2019,21,Atletico-Madrid/Getafe,Atletico-Madrid,Getafe,64%,2,5,4,9,2,3,2,2,0,1,0,0,2,11,0,36%,0,2,4,6,3,6,1,7,2,0,0,0,3,24,0
202,2018/2019,21,Leganes/Eibar,Leganes,Eibar,54%,2,3,6,9,0,4,1,2,0,2,0,0,3,14,0,46%,2,2,3,5,1,5,2,3,0,1,0,0,3,13,0
203,2018/2019,21,Valencia-Cf/Villarreal,Valencia-Cf,Villarreal,45%,3,9,9,18,5,7,2,1,0,3,2,0,3,12,0,55%,0,5,8,13,6,4,2,3,0,0,0,0,3,8,0
204,2018/2019,21,Valladolid/Celta,Valladolid,Celta,43%,2,7,11,18,2,7,4,2,0,2,0,0,3,14,0,57%,1,3,5,8,5,5,1,5,1,1,0,0,3,19,0
205,2018/2019,21,Girona-Fc/Barcelona,Girona-Fc,Barcelona,36%,0,5,8,13,5,3,0,5,1,0,0,0,3,18,0,64%,2,7,8,15,5,8,2,3,0,1,0,0,3,12,0
206,2018/2019,21,Athletic-Bilbao/Betis,Athletic-Bilbao,Betis,39%,1,2,8,10,2,6,1,4,1,1,1,0,3,19,0,61%,0,2,5,7,1,4,2,2,0,0,1,0,3,5,0
207,2018/2019,21,Real-Sociedad/Huesca,Real-Sociedad,Huesca,68%,0,1,7,8,1,5,4,0,0,0,0,0,3,7,0,32%,0,1,6,7,1,2,2,2,0,0,1,0,3,21,0
208,2018/2019,21,Espanyol/Real-Madrid,Espanyol,Real-Madrid,36%,2,6,8,14,5,1,3,3,0,1,0,0,3,14,0,64%,4,9,7,16,4,6,0,3,1,2,0,1,3,17,0
209,2018/2019,21,Alaves/Rayo-Vallecano,Alaves,Rayo-Vallecano,51%,0,1,15,16,1,7,1,2,0,0,1,0,3,14,0,49%,1,2,11,13,1,4,1,5,0,1,1,0,3,19,0
210,2018/2019,22,Huesca/Valladolid,Huesca,Valladolid,43%,4,7,4,11,5,7,1,6,0,4,0,0,3,17,0,57%,0,5,5,10,3,7,5,2,0,0,0,0,3,11,0
211,2018/2019,22,Levante/Getafe,Levante,Getafe,57%,0,5,4,9,3,5,2,3,0,0,0,1,3,6,0,43%,0,3,6,9,5,5,5,3,0,0,0,0,3,15,0
212,2018/2019,22,Real-Sociedad/Athletic-Bilbao,Real-Sociedad,Athletic-Bilbao,47%,2,2,4,6,4,3,2,1,0,1,1,0,3,15,0,53%,1,5,3,8,0,3,1,1,0,0,0,0,3,12,0
213,2018/2019,22,Barcelona/Valencia-Cf,Barcelona,Valencia-Cf,68%,2,8,12,20,5,9,1,3,0,1,1,0,3,8,0,32%,2,7,7,14,6,1,0,0,0,1,1,1,3,5,0
214,2018/2019,22,Celta/Sevilla,Celta,Sevilla,44%,1,4,6,10,1,4,3,4,0,0,0,1,3,12,0,56%,0,1,10,11,3,9,3,4,0,0,1,1,3,12,0
215,2018/2019,22,Villarreal/Espanyol,Villarreal,Espanyol,41%,2,5,9,14,0,3,2,4,0,0,2,0,3,22,0,59%,2,2,15,17,3,2,1,5,0,1,0,0,3,16,0
216,2018/2019,22,Betis/Atletico-Madrid,Betis,Atletico-Madrid,55%,1,3,4,7,1,1,2,4,0,0,0,1,3,8,0,45%,0,1,12,13,2,7,2,3,0,0,1,0,3,20,0
217,2018/2019,22,Eibar/Girona-Fc,Eibar,Girona-Fc,55%,3,5,12,17,2,8,2,1,0,2,1,0,3,11,0,45%,0,2,3,5,2,5,3,1,0,0,0,0,3,8,0
218,2018/2019,22,Real-Madrid/Alaves,Real-Madrid,Alaves,72%,3,7,14,21,1,7,3,0,0,3,0,0,3,9,0,28%,0,1,7,8,4,2,3,3,0,0,0,0,3,12,0
219,2018/2019,22,Rayo-Vallecano/Leganes,Rayo-Vallecano,Leganes,61%,1,6,8,14,2,5,1,6,0,0,0,0,3,19,0,39%,2,4,9,13,5,6,0,4,1,2,1,0,3,10,0
220,2018/2019,23,Valladolid/Villarreal,Valladolid,Villarreal,48%,0,3,6,9,3,8,0,3,0,0,0,0,3,12,0,52%,0,3,4,7,3,3,3,2,0,0,0,0,3,18,0
221,2018/2019,23,Getafe/Celta,Getafe,Celta,49%,3,6,6,12,2,4,3,3,0,1,1,0,3,16,0,51%,1,3,10,13,3,3,4,3,1,1,0,1,3,13,0
222,2018/2019,23,Atletico-Madrid/Real-Madrid,Atletico-Madrid,Real-Madrid,35%,1,2,8,10,1,3,4,7,1,1,0,0,3,20,0,65%,3,4,7,11,1,4,0,3,0,1,0,0,3,15,0
223,2018/2019,23,Espanyol/Rayo-Vallecano,Espanyol,Rayo-Vallecano,60%,2,4,9,13,1,6,5,0,0,1,1,1,3,11,0,40%,1,2,5,7,3,2,1,2,0,1,1,1,3,18,0
224,2018/2019,23,Girona-Fc/Huesca,Girona-Fc,Huesca,67%,0,6,7,13,4,13,2,3,1,0,1,0,3,8,0,33%,2,6,0,6,6,2,2,1,0,2,0,1,3,16,0
225,2018/2019,23,Leganes/Betis,Leganes,Betis,30%,3,4,13,17,1,4,3,3,0,2,0,0,3,21,0,70%,0,1,1,2,1,4,0,2,1,0,0,0,3,9,0
226,2018/2019,23,Valencia-Cf/Real-Sociedad,Valencia-Cf,Real-Sociedad,41%,0,4,5,9,1,7,2,2,0,0,0,0,3,11,0,59%,0,1,7,8,4,5,0,4,0,0,0,2,3,18,0
227,2018/2019,23,Sevilla/Eibar,Sevilla,Eibar,58%,2,4,8,12,1,9,2,4,1,2,0,0,3,10,0,42%,2,3,4,7,2,7,3,2,0,1,0,1,3,7,0
228,2018/2019,23,Athletic-Bilbao/Barcelona,Athletic-Bilbao,Barcelona,33%,0,5,8,13,1,6,2,3,0,0,0,0,3,21,0,67%,0,1,8,9,5,4,3,2,0,0,0,0,3,9,0
229,2018/2019,23,Alaves/Levante,Alaves,Levante,47%,2,4,12,16,0,3,1,3,0,1,1,0,3,14,0,53%,0,0,8,8,2,10,0,2,0,0,0,0,3,18,0
230,2018/2019,24,Eibar/Getafe,Eibar,Getafe,59%,2,6,5,11,2,3,3,2,0,0,0,0,3,12,0,41%,2,4,3,7,4,2,6,1,0,1,0,0,3,12,0
231,2018/2019,24,Celta/Levante,Celta,Levante,58%,1,6,7,13,4,5,3,1,1,0,0,0,2,12,0,42%,4,8,6,14,5,7,1,1,0,4,0,1,3,17,0
232,2018/2019,24,Rayo-Vallecano/Atletico-Madrid,Rayo-Vallecano,Atletico-Madrid,47%,0,5,6,11,2,4,0,0,0,0,0,0,3,10,0,53%,1,3,1,4,5,6,2,1,0,1,0,0,3,12,0
233,2018/2019,24,Real-Sociedad/Leganes,Real-Sociedad,Leganes,62%,3,6,8,14,3,4,2,4,0,3,0,0,3,10,0,38%,0,3,5,8,3,1,1,2,0,0,1,0,3,16,0
234,2018/2019,24,Barcelona/Valladolid,Barcelona,Valladolid,61%,1,7,11,18,0,3,2,1,0,0,0,0,3,12,0,39%,0,0,10,10,6,5,2,3,0,0,0,1,3,18,0
235,2018/2019,24,Real-Madrid/Girona-Fc,Real-Madrid,Girona-Fc,57%,1,7,12,19,4,7,5,3,1,1,0,0,3,13,0,43%,2,6,8,14,6,0,3,2,0,0,2,0,3,18,0
236,2018/2019,24,Valencia-Cf/Espanyol,Valencia-Cf,Espanyol,51%,0,1,19,20,1,9,2,2,0,0,1,0,3,12,0,49%,0,1,5,6,1,2,1,4,1,0,0,0,3,9,0
237,2018/2019,24,Villarreal/Sevilla,Villarreal,Sevilla,40%,3,6,6,12,5,6,3,4,0,3,1,1,3,7,0,60%,0,5,16,21,3,4,3,1,0,0,0,0,3,13,0
238,2018/2019,24,Betis/Alaves,Betis,Alaves,65%,1,7,9,16,2,6,0,4,0,0,0,0,3,10,0,35%,1,3,2,5,6,2,1,1,0,1,0,0,3,9,0
239,2018/2019,24,Huesca/Athletic-Bilbao,Huesca,Athletic-Bilbao,49%,0,2,10,12,3,3,2,5,0,0,0,0,3,16,0,51%,1,4,5,9,2,5,2,1,0,0,0,0,3,11,0
240,2018/2019,25,Espanyol/Huesca,Espanyol,Huesca,68%,1,2,11,13,3,7,5,2,0,0,1,0,3,9,0,32%,1,4,9,13,1,4,4,4,0,1,0,1,3,16,0
241,2018/2019,25,Getafe/Rayo-Vallecano,Getafe,Rayo-Vallecano,42%,2,2,8,10,1,2,3,2,0,2,0,0,3,11,0,58%,1,2,5,7,0,2,3,1,0,0,0,0,3,12,0
242,2018/2019,25,Sevilla/Barcelona,Sevilla,Barcelona,40%,2,3,14,17,1,6,1,1,0,2,0,2,3,17,0,60%,0,1,10,11,1,5,6,1,0,0,0,0,3,8,0
243,2018/2019,25,Alaves/Celta,Alaves,Celta,47%,0,4,13,17,2,3,3,2,0,0,0,0,3,15,0,53%,0,2,6,8,4,4,3,2,0,0,0,0,3,9,0
244,2018/2019,25,Athletic-Bilbao/Eibar,Athletic-Bilbao,Eibar,46%,1,4,5,9,2,9,4,3,0,1,0,1,3,9,0,54%,0,2,5,7,3,2,1,4,0,0,0,0,3,16,0
245,2018/2019,25,Leganes/Valencia-Cf,Leganes,Valencia-Cf,49%,1,6,11,17,0,4,0,5,0,0,0,0,3,14,0,51%,1,1,5,6,5,2,0,3,0,1,2,1,3,10,0
246,2018/2019,25,Atletico-Madrid/Villarreal,Atletico-Madrid,Villarreal,51%,2,7,8,15,2,6,3,1,0,2,0,0,3,8,0,49%,0,2,9,11,5,6,0,3,0,0,0,0,3,9,0
247,2018/2019,25,Valladolid/Betis,Valladolid,Betis,47%,0,2,8,10,1,11,5,1,0,0,0,0,3,10,0,53%,2,3,3,6,2,4,1,2,0,1,0,2,3,8,0
248,2018/2019,25,Levante/Real-Madrid,Levante,Real-Madrid,40%,1,2,9,11,3,4,2,4,1,1,2,0,3,17,0,60%,2,5,13,18,1,6,0,3,1,0,0,0,3,11,0
249,2018/2019,25,Girona-Fc/Real-Sociedad,Girona-Fc,Real-Sociedad,45%,0,3,7,10,1,3,0,4,0,0,0,0,3,26,0,55%,0,1,6,7,3,5,4,1,0,0,0,0,3,15,0
250,2018/2019,26,Rayo-Vallecano/Girona-Fc,Rayo-Vallecano,Girona-Fc,54%,0,3,6,9,2,7,1,3,1,0,0,0,3,17,0,46%,2,4,8,12,3,1,2,4,0,1,2,1,3,23,0
251,2018/2019,26,Espanyol/Valladolid,Espanyol,Valladolid,57%,3,5,6,11,2,5,3,2,0,2,0,1,3,12,0,43%,1,3,9,12,2,3,0,2,0,0,0,1,3,5,0
252,2018/2019,26,Villarreal/Alaves,Villarreal,Alaves,60%,1,2,7,9,0,7,4,2,0,0,0,0,3,14,0,40%,2,2,8,10,1,2,3,3,0,2,0,0,3,11,0
253,2018/2019,26,Huesca/Sevilla,Huesca,Sevilla,28%,2,3,3,6,4,3,1,4,0,2,0,1,3,15,0,72%,1,5,7,12,1,12,3,3,0,0,0,0,3,15,0
254,2018/2019,26,Real-Madrid/Barcelona,Real-Madrid,Barcelona,48%,0,3,14,17,3,8,2,3,0,0,0,0,3,16,0,52%,1,4,6,10,3,6,2,2,0,1,0,0,3,13,0
255,2018/2019,26,Eibar/Celta,Eibar,Celta,61%,1,4,10,14,1,7,4,1,0,0,0,0,3,12,0,39%,0,1,2,3,3,0,3,1,0,0,1,0,3,13,0
256,2018/2019,26,Betis/Getafe,Betis,Getafe,64%,1,2,4,6,3,4,4,2,0,1,0,0,3,13,0,36%,2,5,6,11,1,4,2,2,0,2,0,0,3,13,0
257,2018/2019,26,Real-Sociedad/Atletico-Madrid,Real-Sociedad,Atletico-Madrid,61%,0,3,15,18,1,7,0,1,0,0,0,1,3,12,0,39%,2,3,5,8,3,3,0,4,1,2,0,1,3,17,0
258,2018/2019,26,Valencia-Cf/Athletic-Bilbao,Valencia-Cf,Athletic-Bilbao,48%,2,3,8,11,1,6,1,0,0,2,0,0,3,12,0,52%,0,1,2,3,1,2,0,3,0,0,0,0,3,12,0
259,2018/2019,26,Leganes/Levante,Leganes,Levante,39%,1,3,10,13,4,2,0,5,0,0,1,1,3,14,0,61%,0,4,11,15,2,2,3,4,0,0,1,0,2,10,0
260,2018/2019,27,Athletic-Bilbao/Espanyol,Athletic-Bilbao,Espanyol,65%,1,6,9,15,1,7,3,3,0,1,0,0,3,13,0,35%,1,2,3,5,5,0,2,5,0,1,0,0,3,20,0
261,2018/2019,27,Alaves/Eibar,Alaves,Eibar,44%,1,3,13,16,2,3,0,1,0,1,0,1,3,10,0,56%,1,3,17,20,2,5,3,1,0,1,0,0,2,18,0
262,2018/2019,27,Atletico-Madrid/Leganes,Atletico-Madrid,Leganes,45%,1,4,9,13,2,4,0,2,0,0,2,0,3,9,0,55%,0,2,1,3,3,4,0,2,0,0,0,0,3,7,0
263,2018/2019,27,Barcelona/Rayo-Vallecano,Barcelona,Rayo-Vallecano,68%,3,7,6,13,0,9,5,1,0,2,0,0,3,12,0,32%,1,1,7,8,4,4,2,1,0,1,0,0,2,17,0
264,2018/2019,27,Getafe/Huesca,Getafe,Huesca,57%,2,6,6,12,0,12,4,0,0,1,2,0,3,13,0,43%,1,1,4,5,4,0,3,4,0,1,0,0,2,15,0
265,2018/2019,27,Celta/Betis,Celta,Betis,37%,0,1,6,7,3,4,6,3,0,0,0,0,3,17,0,63%,1,4,10,14,1,4,2,0,0,0,0,1,3,16,0
266,2018/2019,27,Girona-Fc/Valencia-Cf,Girona-Fc,Valencia-Cf,59%,2,8,9,17,3,6,0,1,0,1,0,0,3,12,0,41%,3,6,4,10,6,1,4,4,1,2,0,0,3,10,0
267,2018/2019,27,Levante/Villarreal,Levante,Villarreal,51%,0,3,8,11,4,8,2,3,0,0,0,0,3,8,0,49%,2,6,8,14,3,2,1,5,0,1,0,1,3,21,0
268,2018/2019,27,Sevilla/Real-Sociedad,Sevilla,Real-Sociedad,49%,5,11,10,21,0,7,5,2,0,2,1,0,3,11,0,51%,2,2,7,9,6,2,2,2,0,1,0,1,3,13,0
269,2018/2019,27,Valladolid/Real-Madrid,Valladolid,Real-Madrid,37%,1,2,7,9,2,5,5,1,0,1,1,0,3,13,0,63%,4,6,9,15,1,12,1,5,1,3,0,0,3,11,0
270,2018/2019,28,Real-Sociedad/Levante,Real-Sociedad,Levante,58%,1,6,12,18,2,3,5,2,0,1,0,0,1,9,0,42%,1,3,5,8,5,3,4,2,0,1,0,1,3,12,0
271,2018/2019,28,Huesca/Alaves,Huesca,Alaves,54%,1,2,6,8,2,2,1,1,0,0,1,1,3,21,0,46%,3,5,7,12,1,2,3,3,0,2,0,0,3,21,0
272,2018/2019,28,Real-Madrid/Celta,Real-Madrid,Celta,53%,2,7,14,21,1,9,2,1,0,2,1,0,3,15,0,47%,0,1,5,6,5,2,2,0,0,0,0,1,3,8,0
273,2018/2019,28,Athletic-Bilbao/Atletico-Madrid,Athletic-Bilbao,Atletico-Madrid,47%,2,5,4,9,1,1,0,3,0,2,0,0,3,12,0,53%,0,1,5,6,3,7,3,1,0,0,0,0,1,4,0
274,2018/2019,28,Leganes/Girona-Fc,Leganes,Girona-Fc,54%,0,3,9,12,2,6,2,6,0,0,0,0,3,17,0,46%,2,4,3,7,3,2,0,1,0,2,1,0,3,6,0
275,2018/2019,28,Eibar/Valladolid,Eibar,Valladolid,61%,1,3,12,15,1,5,4,4,0,1,0,0,3,16,0,39%,2,3,6,9,2,0,5,2,0,0,0,0,3,14,0
276,2018/2019,28,Espanyol/Sevilla,Espanyol,Sevilla,49%,0,3,10,13,1,6,1,1,0,0,0,0,3,11,0,51%,1,2,9,11,3,5,5,2,0,0,0,0,3,13,0
277,2018/2019,28,Valencia-Cf/Getafe,Valencia-Cf,Getafe,61%,0,2,5,7,1,3,6,3,0,0,1,0,2,12,0,39%,0,1,8,9,2,5,2,4,0,0,0,0,3,20,0
278,2018/2019,28,Villarreal/Rayo-Vallecano,Villarreal,Rayo-Vallecano,53%,3,4,7,11,2,5,3,3,0,2,0,1,3,16,0,47%,1,3,4,7,1,5,3,3,0,1,0,1,3,7,0
279,2018/2019,28,Betis/Barcelona,Betis,Barcelona,56%,1,3,10,13,5,3,1,1,0,1,0,0,3,10,0,44%,4,9,7,16,2,7,2,2,0,3,1,1,3,11,0
280,2018/2019,29,Girona-Fc/Athletic-Bilbao,Girona-Fc,Athletic-Bilbao,47%,1,2,3,5,3,3,1,2,0,1,0,0,3,16,0,53%,2,5,2,7,1,3,4,4,0,2,0,1,3,17,0
281,2018/2019,29,Getafe/Leganes,Getafe,Leganes,56%,0,2,7,9,1,3,0,5,0,0,0,0,3,15,0,44%,2,3,4,7,2,4,4,2,0,2,0,0,3,25,0
282,2018/2019,29,Barcelona/Espanyol,Barcelona,Espanyol,69%,2,3,10,13,2,5,2,0,0,1,0,0,3,12,0,31%,0,2,1,3,1,2,3,4,0,0,0,0,3,13,0
283,2018/2019,29,Celta/Villarreal,Celta,Villarreal,64%,3,6,10,16,3,10,2,1,0,1,0,1,3,6,0,36%,2,5,8,13,3,7,0,3,0,2,0,0,3,8,0
284,2018/2019,29,Alaves/Atletico-Madrid,Alaves,Atletico-Madrid,44%,0,4,10,14,3,9,0,2,0,0,0,0,3,10,0,56%,4,7,4,11,4,2,2,2,0,4,1,0,3,8,0
285,2018/2019,29,Levante/Eibar,Levante,Eibar,40%,2,2,5,7,1,6,3,2,0,2,1,0,3,9,0,60%,2,3,13,16,0,7,2,1,0,0,1,0,3,12,0
286,2018/2019,29,Rayo-Vallecano/Betis,Rayo-Vallecano,Betis,45%,1,5,13,18,1,6,1,5,0,1,0,0,3,21,0,55%,1,2,5,7,4,3,3,3,0,1,0,0,3,8,0
287,2018/2019,29,Sevilla/Valencia-Cf,Sevilla,Valencia-Cf,59%,0,5,12,17,1,5,3,3,0,0,0,1,3,18,0,41%,1,2,2,4,5,3,1,1,0,0,1,0,3,9,0
288,2018/2019,29,Valladolid/Real-Sociedad,Valladolid,Real-Sociedad,40%,1,4,6,10,0,7,3,4,0,0,0,0,3,17,0,60%,1,1,8,9,3,5,2,1,0,1,0,0,3,7,0
289,2018/2019,29,Real-Madrid/Huesca,Real-Madrid,Huesca,71%,3,7,8,15,1,4,3,1,0,3,0,0,3,9,0,29%,2,3,12,15,4,6,0,2,0,2,0,0,3,17,0
290,2018/2019,30,Atletico-Madrid/Girona-Fc,Atletico-Madrid,Girona-Fc,49%,2,7,10,17,4,4,2,1,0,1,1,1,3,10,0,51%,0,4,7,11,5,3,0,0,0,0,0,0,3,9,0
291,2018/2019,30,Espanyol/Getafe,Espanyol,Getafe,50%,1,3,2,5,2,4,3,4,0,1,0,0,3,14,0,50%,1,3,10,13,2,4,1,3,0,1,0,0,3,13,0
292,2018/2019,30,Villarreal/Barcelona,Villarreal,Barcelona,32%,4,9,7,16,4,5,2,3,1,3,2,0,3,10,0,68%,4,7,5,12,5,2,4,6,0,2,1,0,3,10,0
293,2018/2019,30,Athletic-Bilbao/Levante,Athletic-Bilbao,Levante,40%,3,7,7,14,4,2,1,3,0,1,1,1,3,13,0,60%,2,6,5,11,4,9,1,6,0,1,0,0,3,13,0
294,2018/2019,30,Eibar/Rayo-Vallecano,Eibar,Rayo-Vallecano,45%,2,6,6,12,2,2,2,2,0,2,0,1,3,13,0,55%,1,3,8,11,4,6,5,2,0,1,0,0,3,9,0
295,2018/2019,30,Huesca/Celta,Huesca,Celta,52%,3,6,16,22,2,5,0,2,0,1,1,2,3,9,0,48%,3,5,6,11,3,0,5,3,0,2,1,1,3,12,0
296,2018/2019,30,Valencia-Cf/Real-Madrid,Valencia-Cf,Real-Madrid,32%,2,4,7,11,4,6,2,2,0,2,0,0,3,9,0,68%,1,5,9,14,2,6,0,2,0,1,0,0,3,13,0
297,2018/2019,30,Sevilla/Alaves,Sevilla,Alaves,63%,2,5,13,18,2,11,3,3,0,2,0,1,3,13,0,37%,0,2,3,5,3,1,2,4,0,0,0,1,3,18,0
298,2018/2019,30,Leganes/Valladolid,Leganes,Valladolid,55%,1,1,15,16,1,3,1,1,0,1,0,0,3,13,0,45%,0,1,7,8,1,4,2,1,0,0,0,1,3,11,0
299,2018/2019,30,Real-Sociedad/Betis,Real-Sociedad,Betis,36%,2,7,8,15,5,3,2,2,0,1,0,1,3,12,0,64%,1,6,5,11,5,6,2,3,0,1,0,0,3,13,0
300,2018/2019,31,Girona-Fc/Espanyol,Girona-Fc,Espanyol,54%,1,5,7,12,1,1,2,5,0,0,0,0,3,23,0,46%,2,3,6,9,4,4,2,2,0,0,1,0,3,19,0
301,2018/2019,31,Real-Madrid/Eibar,Real-Madrid,Eibar,56%,2,7,6,13,0,5,6,0,0,2,1,0,3,9,0,44%,1,1,2,3,5,4,3,1,0,1,0,1,3,15,0
302,2018/2019,31,Rayo-Vallecano/Valencia-Cf,Rayo-Vallecano,Valencia-Cf,52%,2,3,9,12,3,4,1,2,0,2,0,0,3,16,0,48%,0,3,9,12,2,7,4,3,0,0,0,0,3,10,0
303,2018/2019,31,Barcelona/Atletico-Madrid,Barcelona,Atletico-Madrid,63%,2,10,11,21,2,5,1,3,0,1,1,0,3,13,0,37%,0,2,7,9,8,1,0,4,1,0,0,0,3,12,0
304,2018/2019,31,Alaves/Leganes,Alaves,Leganes,45%,1,1,5,6,4,3,2,6,0,0,0,0,3,17,0,55%,1,5,4,9,0,3,2,4,0,1,0,0,3,15,0
305,2018/2019,31,Getafe/Athletic-Bilbao,Getafe,Athletic-Bilbao,48%,1,2,3,5,1,1,3,2,0,1,1,0,3,14,0,52%,0,1,7,8,1,2,0,1,0,0,0,1,3,17,0
306,2018/2019,31,Valladolid/Sevilla,Valladolid,Sevilla,37%,0,5,4,9,2,6,6,3,0,0,0,0,3,17,0,63%,2,3,12,15,5,7,2,3,0,2,1,0,3,12,0
307,2018/2019,31,Celta/Real-Sociedad,Celta,Real-Sociedad,48%,3,4,7,11,6,2,1,2,0,1,0,0,3,15,0,52%,1,7,7,14,1,7,0,1,1,0,0,0,3,10,0
308,2018/2019,31,Levante/Huesca,Levante,Huesca,55%,2,8,6,14,2,9,0,2,0,1,0,1,3,21,0,45%,2,4,12,16,6,1,1,4,0,1,0,0,3,12,0
